t;y
1;0.421523420882648
2;-0.760380888398222
3;-1.03097269278853
4;-1.76775768569931
5;2.5002566338092
6;-1.83982370206691
7;-0.967008898712273
8;0.143547034931809
9;-0.359187221704738
10;5.75022073111277
11;-0.884380892553164
12;0.27307725650947
13;-0.932930204732096
14;-1.51405540940915
15;2.84725889100009
16;-1.8403003258686
17;-1.94932814256081
18;-0.627614552439413
19;0.373986381490764
20;4.73948483116202
21;-0.0795679762934992
22;-0.613725082193679
23;-1.29536224037295
24;-1.72008628078389
25;2.72015938930806
26;-2.21214103522111
27;-1.17392611156912
28;-1.47948556169046
29;-0.277007530121311
30;5.06462618698482
31;0.298218793867957
32;-0.504285023845992
33;-1.74787343168281
34;-2.24546893462724
35;2.82160680928766
36;-2.83038803964343
37;-1.56038956939006
38;-0.650509134608601
39;-0.0625751151974349
40;4.35241461623297
41;0.996701307927441
42;-1.30291867237905
43;-0.468612869137267
44;-2.76687173867462
45;2.55595162413264
46;-0.796706870061007
47;-1.35814257832888
48;-1.21269612497237
49;-0.439602153705795
50;5.33286589853398
51;0.0820687650667117
52;-1.0310032610434
53;-0.81270729289659
54;-2.29923233435676
55;3.36575846088925
56;-1.53470215149869
57;-1.63931933416688
58;-0.839772636867114
59;-0.403998144084321
60;5.65970704335202
61;-0.16435122808283
62;0.262544769310897
63;-0.920151151579368
64;-1.7652334167668
65;3.61210238908253
66;-2.37658223740037
67;-1.96079909101784
68;0.159529546200783
69;-0.193044552224507
70;5.05450395362383
71;-0.381934238952789
72;-0.299963871630861
73;-1.73359735070389
74;-2.28213988857883
75;2.72100254456228
76;-1.86233200283693
77;-0.897524134802841
78;-0.572709014673934
79;0.435417318366148
80;4.79478723260651
81;0.397758654102971
82;0.525479280091622
83;-0.941926130775722
84;-1.78319486216353
85;2.33866324862901
86;-1.77779737936966
87;-0.570963268168135
88;-1.85872781705733
89;-0.901569924509733
90;5.44360049556835
91;0.0373393022347012
92;-0.547678842020932
93;-0.743935086758632
94;-2.13770650333136
95;3.04039712635594
96;-1.59968166385802
97;-2.20946310930711
98;-0.338075039015454
99;0.720368543999538
100;5.71616897336167
